 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
55143,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55144,1,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,37000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,40,0,2000000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55145,4,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55254,3,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,14300000,1000000,1.5,0.707106781,2,1,3,1.5,0.707106781,2,1,0,0,0,0,0,0,0,0,0,60,0,1000000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
36206,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,939,1269,0,32,0,0,0,0,0,0,0,0,BENIGN
53524,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53524,154,1,1,0,0,0,0,0,0,0,0,0,0,0,12987.01299,154,0,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6493.506494,6493.506494,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53526,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53526,118,1,1,0,0,0,0,0,0,0,0,0,0,0,16949.15254,118,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8474.576271,8474.576271,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53527,239,1,1,0,0,0,0,0,0,0,0,0,0,0,8368.200837,239,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4184.100418,4184.100418,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,0,0,0,0,0,BENIGN
53528,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0.5,0.707106781,1,0,1,0.5,0.707106781,1,0,0,0,0,0,0,0,0,0,0,96,0,3000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53527,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
55035,4,2,0,248,0,217,31,124,131.5218613,0,0,0,0,62000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,31,217,155,107.3871501,11532,0,1,0,0,1,0,0,0,0,232.5,124,0,40,0,0,0,0,0,0,2,248,0,0,237,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55275,5,3,0,254,0,217,6,84.66666667,115.283708,0,0,0,0,50800000,600000,2.5,2.121320344,4,1,5,2.5,2.121320344,4,1,0,0,0,0,0,1,0,0,0,60,0,600000,0,6,217,117.75,115.0575943,13238.25,0,1,0,0,1,0,0,0,0,157,84.66666667,0,60,0,0,0,0,0,0,3,254,0,0,123,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
55277,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,35095,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8850,4,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,10800000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,65,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
43248,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,59,439,0,32,0,0,0,0,0,0,0,0,BENIGN
8678,42,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,1023809.524,71428.57143,21,25.45584412,39,3,42,21,25.45584412,39,3,0,0,0,0,0,0,0,0,0,60,0,71428.57143,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
55063,4,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,9250000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,40,0,500000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55203,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55140,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55180,737,2,1,37,6,31,6,18.5,17.67766953,6,6,6,0,58344.64043,4070.556309,368.5,310.4198769,588,149,737,737,0,737,737,0,0,0,0,0,1,0,0,0,40,20,2713.704206,1356.852103,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6,40,0,0,0,0,0,0,2,37,1,6,62,0,1,20,0,0,0,0,0,0,0,0,BENIGN
55156,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55096,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55085,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8689,276,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,155797.1014,10869.56522,138,192.3330445,274,2,276,138,192.3330445,274,2,0,0,0,0,0,0,0,0,0,60,0,10869.56522,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
8817,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8816,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8886,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5114,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
60350,105,1,1,6,6,6,6,6,0,6,6,6,0,114285.7143,19047.61905,105,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9523.809524,9523.809524,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
60346,66,1,1,6,6,6,6,6,0,6,6,6,0,181818.1818,30303.0303,66,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15151.51515,15151.51515,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,0,0,0,0,0,BENIGN
60352,68,1,1,6,6,6,6,6,0,6,6,6,0,176470.5882,29411.76471,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,14705.88235,14705.88235,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1024,320,0,20,0,0,0,0,0,0,0,0,BENIGN
8833,48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,23,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
9331,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
9175,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,385,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8693,16,1,1,6,6,6,6,6,0,6,6,6,0,750000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,62500,62500,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,351,258,0,20,0,0,0,0,0,0,0,0,BENIGN
8695,63,1,1,6,6,6,6,6,0,6,6,6,0,190476.1905,31746.03175,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,15873.01587,15873.01587,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
8690,17,1,1,6,6,6,6,6,0,6,6,6,0,705882.3529,117647.0588,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58823.52941,58823.52941,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
8694,123,1,1,6,6,6,6,6,0,6,6,6,0,97560.97561,16260.1626,123,0,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8130.081301,8130.081301,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,360,255,0,20,0,0,0,0,0,0,0,0,BENIGN
57683,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
57662,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
54864,49,2,0,12,0,6,6,6,0,0,0,0,0,244897.9592,40816.32653,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,40,0,40816.32653,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,351,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
57680,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,377,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
60954,46,1,1,0,0,0,0,0,0,0,0,0,0,0,43478.26087,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21739.13043,21739.13043,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,229,0,32,0,0,0,0,0,0,0,0,BENIGN
57681,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,424,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55270,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55271,251170,3,0,18,0,6,6,6,0,0,0,0,0,71.66460963,11.9441016,125585,177598.3534,251166,4,251170,125585,177598.3534,251166,4,0,0,0,0,0,0,0,0,0,60,0,11.9441016,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,8,6,0,60,0,0,0,0,0,0,3,18,0,0,351,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
57674,49,2,0,12,0,6,6,6,0,0,0,0,0,244897.9592,40816.32653,49,0,49,49,49,49,0,49,49,0,0,0,0,0,0,0,0,0,40,0,40816.32653,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
50485,62,1,1,0,0,0,0,0,0,0,0,0,0,0,32258.06452,62,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16129.03226,16129.03226,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,378,558,0,32,0,0,0,0,0,0,0,0,BENIGN
57686,175,2,1,12,6,6,6,6,0,6,6,6,0,102857.1429,17142.85714,87.5,23.33452378,104,71,175,175,0,175,175,0,0,0,0,0,0,0,0,0,40,20,11428.57143,5714.285714,6,6,6,0,0,0,0,0,0,1,0,0,0,0,8,6,6,40,0,0,0,0,0,0,2,12,1,6,360,255,1,20,0,0,0,0,0,0,0,0,BENIGN
33666,37,1,1,0,0,0,0,0,0,0,0,0,0,0,54054.05405,37,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27027.02703,27027.02703,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,340,586,0,32,0,0,0,0,0,0,0,0,BENIGN
8883,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
8884,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,40929,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55245,96,1,1,6,6,6,6,6,0,6,6,6,0,125000,20833.33333,96,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10416.66667,10416.66667,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,16384,256,0,20,0,0,0,0,0,0,0,0,BENIGN
55150,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5574,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55043,0,2,0,12,0,6,6,6,0,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55040,48,2,0,12,0,6,6,6,0,0,0,0,0,250000,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.66667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
55039,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4737,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
